Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total_Conexiones,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Accesos por cada 100 hogares
2021,4,San Juan,79667,291,79958,44000000,1442000,28906,10955000,23978000,398000000,9800,4435000,39.59
2021,4,San Luis,118662,187,118849,62000000,264000000,8550,4276000,9107000,67363000,9,29218000,80.3
2021,4,Santa Cruz,48276,210,48486,52000000,297000000,20305,11641000,13054000,1770000,876,491000000,43.05
2021,4,Santa Fe,866265,176,866441,467000000,581000000,169706,206856000,85690000,62349000,322015,18777000,77.09
2021,4,Santiago Del Estero,115859,2,115861,178000000,909000000,31915,61524000,12205000,800000000,7537,793000000,47.05
2021,4,Tierra Del Fuego,52042,315,52357,26000000,385000000,13505,16534000,16562000,1748000,1017,2580000,98.4
2021,4,Tucumán,238609,30,238639,39000000,97000000,37321,48736000,21023000,5326000,125857,240000000,55.93
2021,3,Buenos Aires,4246425,5184,4251609,37193000,31149000,1108940,248153000,141383000,192797000,2482266,9728000,71.68
2021,3,Capital Federal,1411797,1608,1413405,295000000,603000000,156978,67013000,39785000,73502000,1075229,0,111.27
2021,3,Catamarca,56253,1,56254,71000000,0,6755,8428000,10517000,1659000,26618,2206000,52.71
2021,3,Chaco,139868,3,139871,301000000,112000000,22545,20986000,23852000,14412000,49705,7958000,42.96
2021,3,Chubut,155266,800,156066,104000000,105000000,89168,26281000,18538000,5320000,1643,14907000,80.71
2021,3,Córdoba,946726,62,946788,99000000,2452000,204989,141285000,65050000,47198000,476459,9256000,81.28
2021,3,Corrientes,133816,3,133819,67000000,645000000,29629,28478000,24792000,9687000,35468,5053000,44.9
2021,3,Entre Ríos,260360,15,260375,107000000,3024000,61354,59776000,39114000,16283999,67961,12755000,62.18
2021,3,Formosa,52795,0,52795,381000000,0,22778,7142000,6978000,1192000,12707,1617000,33.96
2021,3,Jujuy,111158,0,111158,48000000,175000000,23884,16417000,37755000,561000000,29917,2401000,55.69
2021,3,La Pampa,100371,116,100487,298000000,313000000,65063,7395000,8737000,4022999,10506,4152000,84.28
2021,3,La Rioja,82157,3,82160,18000000,1000000,5366,5979000,23315000,4868000,42613,0,77.26
2021,3,Mendoza,255320,619,255939,36000000,31000000,151871,12640000,62628000,7596000,21087,50000000,45.55
2021,3,Misiones,158528,0,158528,51000000,5000000,41932,25099000,26079000,14792000,42291,8279000,45.57
2021,3,Neuquén,139436,373,139809,112000000,327000000,57441,8566000,6234000,3631000,57919,5579000,69.71
2021,3,Río Negro,144084,501,144585,125000000,557000000,68991,3730000,14880000,2282000,34011,20009000,61.97
2021,3,Salta,195831,2,195833,101000000,20000000,41431,70104000,6962000,3878000,67010,6327000,55.96
2021,3,San Juan,79227,256,79483,18000000,333000000,59873,752000000,13250000,338000000,278,4641000,39.46
2021,3,San Luis,117716,148,117864,60000000,0,11552,2405000,6491000,67942000,22,29392000,79.87
2021,3,Santa Cruz,48779,197,48976,50000000,0,30561,8365000,6799000,1788000,678,735000000,43.75
2021,3,Santa Fe,841433,151,841584,467000000,579000000,193207,201250000,83941000,55080000,290793,16267000,75.02
2021,3,Santiago Del Estero,115457,1,115458,123000000,909000000,32752,61838000,11274000,801000000,6863,898000000,47.0
2021,3,Tierra Del Fuego,49934,289,50223,17000000,0,23723,13397000,9782000,1433000,976,895000000,94.95
2021,3,Tucumán,232447,25,232472,32000000,97000000,39446,50293000,21986000,5300000,115154,164000000,54.64
2021,2,Buenos Aires,4127167,5184,4132351,37192000,31178000,1096049,244001000,140322000,236897000,2337604,9108000,70.0
2021,2,Capital Federal,1398747,1608,1400355,294000000,603000000,157558,73568000,43859000,86655000,1037752,66000000,110.14
2021,2,Catamarca,55743,1,55744,71000000,0,7219,9091000,6828000,4941000,25388,2206000,52.34
2021,2,Chaco,140726,3,140729,301000000,112000000,23444,21574000,24032000,16068999,47239,7958000,43.33
2021,2,Chubut,138412,825,139237,104000000,105000000,89639,22605000,16604000,3896000,1112,5172000,72.29
2021,2,Córdoba,930818,62,930880,99000000,2452000,201757,136516000,66950000,70824000,442357,9925000,80.12
2021,2,Corrientes,129498,3,129501,67000000,645000000,29419,27037000,24524000,10059000,32697,5053000,43.54
2021,2,Entre Ríos,257617,15,257632,107000000,3024000,63518,55349000,39468000,18484000,61605,16077000,61.66
2021,2,Formosa,51551,0,51551,381000000,0,22364,7310000,7460000,1341000,11077,1618000,33.23
2021,2,Jujuy,111848,0,111848,48000000,175000000,24182,16577000,37908000,607000000,29950,2401000,56.18
2021,2,La Pampa,97551,116,97667,298000000,554000000,64146,7769000,8128000,3399000,9311,4062000,82.08
2021,2,La Rioja,81599,3,81602,18000000,1000000,5312,5971000,23298000,4825000,42158,19000000,76.98
2021,2,Mendoza,229052,619,229671,36000000,31000000,137462,10886000,56117000,4403000,20686,50000000,40.97
2021,2,Misiones,156176,0,156176,51000000,5000000,41643,25907000,25811000,16172000,38308,8279000,45.01
2021,2,Neuquén,137877,373,138250,112000000,327000000,57713,8631000,5871000,5943000,54008,5645000,69.14
2021,2,Río Negro,143583,501,144084,125000000,557000000,69356,3663000,15019000,3867000,31488,20009000,61.94
2021,2,Salta,191637,2,191639,101000000,20000000,42543,67012000,7099000,9654000,58882,6328000,54.93
2021,2,San Juan,78677,256,78933,18000000,333000000,59989,784000000,12550000,340000000,278,4641000,39.28
2021,2,San Luis,122670,148,122818,60000000,0,11752,2703000,5418000,65946000,22,36917000,83.48
2021,2,Santa Cruz,48785,197,48982,50000000,0,30595,8463000,6888000,1575000,676,735000000,44.01
2021,2,Santa Fe,840449,151,840600,467000000,896000000,202018,204077000,80452000,75195000,262124,15371000,75.07
2021,2,Santiago Del Estero,114089,1,114090,123000000,909000000,32034,62224000,10359000,811000000,6064,1566000,46.56
2021,2,Tierra Del Fuego,35404,289,35693,17000000,0,21335,6913000,4580000,476000000,889,1483000,67.89
2021,2,Tucumán,233026,25,233051,32000000,97000000,40224,51648000,23732000,5022000,109616,2680000,54.93
2021,1,Buenos Aires,4054936,5066,4060002,36939000,31187000,1108368,240520000,163747000,222061000,2246313,10867000,69.11
2021,1,Capital Federal,1378283,1390,1379673,135000000,244000000,159662,76753000,56457000,83255000,1003041,126000000,108.42
2021,1,Catamarca,51967,1,51968,71000000,0,7423,8455000,10115000,712000000,22996,2196000,48.9
2021,1,Chaco,139767,3,139770,301000000,112000000,24357,22102000,27556000,14496000,42462,8384000,43.14
2021,1,Chubut,131515,825,132340,106000000,109000000,86986,21401000,15392000,2844000,1112,4390000,68.99
2021,1,Córdoba,910826,55,910881,93000000,2386000,211799,135092000,74659000,71984000,402191,12677000,78.59
2021,1,Corrientes,126622,3,126625,67000000,527000000,31544,26223000,26169000,9001000,27641,5453000,42.66
2021,1,Entre Ríos,251950,13,251963,105000000,2911000,67255,56060000,42432000,15774000,54600,12826000,60.44
2021,1,Formosa,50686,0,50686,56000000,0,22409,7569000,7916000,1215000,9579,1942000,32.73
2021,1,Jujuy,110456,0,110456,49000000,175000000,23735,17293000,40649000,568000000,25609,2378000,55.63
2021,1,La Pampa,96989,116,97105,298000000,554000000,68200,7864000,7611000,2786000,7368,2424000,81.78
2021,1,La Rioja,52625,3,52628,18000000,1000000,36749,5968000,4604000,215000000,5074,-1000000,49.81
2021,1,Mendoza,218308,615,218923,28000000,40000000,134386,11216000,52533000,4061000,16615,44000000,39.15
2021,1,Misiones,149387,0,149387,51000000,524000000,40949,25503000,27101000,14050000,32953,8256000,43.17
2021,1,Neuquén,132862,373,133235,116000000,327000000,56171,8443000,5903000,5677000,50840,5758000,66.84
2021,1,Río Negro,140667,501,141168,125000000,466000000,70011,4187000,13045000,3642000,29589,20103000,60.88
2021,1,Salta,187572,2,187574,109000000,20000000,40785,68149000,9164000,8138999,54889,6319000,53.93
2021,1,San Juan,78011,256,78267,25000000,194000000,60439,858000000,11494000,340000000,276,4641000,39.06
2021,1,San Luis,119006,148,119154,58000000,0,11889,2926000,4429000,62913000,22,36917000,81.24
2021,1,Santa Cruz,45868,197,46065,50000000,0,30655,8334000,6987000,1337000,647,-1945000,41.65
2021,1,Santa Fe,825990,137,826127,518000000,891000000,201632,204458000,91846000,65476000,236924,24382000,73.92
2021,1,Santiago Del Estero,111640,1,111641,123000000,909000000,33884,58464000,8549000,700000000,4868,4144000,45.67
2021,1,Tierra Del Fuego,40133,289,40422,17000000,0,21379,1468000,4317000,486000000,919,11836000,77.35
2021,1,Tucumán,231890,22,231912,29000000,97000000,42810,53416000,25255000,4188000,103437,2680000,54.82
2020,4,Buenos Aires,4028195,5066,4033261,36939000,31197000,1109865,242243000,214171000,213588000,2176242,9016000,68.98
2020,4,Capital Federal,1378140,1390,1379530,135000000,244000000,160210,78123000,60208000,80269000,1000073,268000000,108.31
2020,4,Catamarca,52395,1,52396,71000000,0,8843,8740000,11436000,591000000,20406,2309000,49.41
2020,4,Chaco,139088,3,139091,301000000,112000000,24782,22479000,26802000,15701000,40949,7965000,43.03
2020,4,Chubut,129749,825,130574,106000000,109000000,88157,21824000,12046000,2818000,1112,4402000,68.35
2020,4,Córdoba,902646,55,902701,119000000,2386000,214963,135262000,82221000,70013000,384169,13568000,78.08
2020,4,Corrientes,125656,3,125659,67000000,527000000,31900,26321000,25687000,9383000,26789,4985000,42.43
2020,4,Entre Ríos,247368,13,247381,105000000,2911000,65659,53556000,40755000,16600000,53141,14654000,59.47
2020,4,Formosa,50206,0,50206,56000000,0,23540,7606000,7181000,1197000,8946,1680000,32.49
2020,4,Jujuy,105851,0,105851,49000000,182000000,23772,14379000,44930000,446000000,19282,2811000,53.46
2020,4,La Pampa,96779,116,96895,298000000,554000000,70184,8124000,6562000,2396000,6257,2520000,81.77
2020,4,La Rioja,52775,3,52778,18000000,1000000,36906,6060000,4633000,181000000,4979,0,50.11
